Title,Author,countries,Rank,Genre,first_year_published,Approx. sales (in millions),Bestseller
don quixote,Miguel de Cervantes,Spanish,1,action,1605.0,<10,No
alice'sdventures in wonderland,Lewis Carroll,British,2,fantasy,1865.0,<10,No
adventures of huckleberry finn,Mark Twain,American,3,action,1884.0,20-50,Yes
adventures of tom sawyer,Mark Twain,American,4,action,1876.0,<10,No
treasure island,Robert Louis Stevenson,British,5,action,1881.0,<10,No
pridend prejudice,Jane Austen,British,6,romance,1813.0,20-50,Yes
wuthering heights,Emily Brontë,British,7,gen_fiction,1847.0,<10,No
jane eyre,Charlotte Brontë,British,8,romance,1847.0,<10,No
moby dick,Herman Melville,American,9,gen_fiction,1851.0,<10,No
scarlet letter,Nathaniel Hawthorne,American,10,gen_fiction,1850.0,<10,No
gulliver's travels,Jonathan Swift,British,11,fantasy,1726.0,<10,No
pilgrim's progress,John Bunyan,British,12,allegories,1678.0,<10,No
christmas carol,Charles Dickens,British,13,gen_fiction,1843.0,<10,No
david copperfield,Charles Dickens,British,14,bildung,1849.0,<10,No
tale of two cities,Charles Dickens,British,15,history,1859.0,>100,Yes
little women,Louisa May Alcott,American,16,gen_fiction,1868.0,<10,No
great expectations,Charles Dickens,British,17,bildung,1861.0,<10,No
hobbit,J.R.R. Tolkien,British,18,fantasy,1937.0,>100,Yes
frankenstein,Mary Shelley,British,19,horror,1818.0,<10,No
oliver twist,Charles Dickens,British,20,bildung,1837.0,<10,No
uncle tom's cabin,Harriet Beecher Stowe,American,21,political,1852.0,<10,No
crimend punishment,Fyodor Dostoyevsky,Russian,22,gen_fiction,1866.0,<10,No
madame bovary,Gustave Flaubert,French,23,gen_fiction,1857.0,<10,No
lord of rings,J.R.R. Tolkien,British,24,fantasy,1954.0,<10,No
dracula,Bram Stoker,British,25,gen_fiction,1897.0,<10,No
three musketeers,Alexandre Dumas,French,26,history,1844.0,<10,No
brave new world,Aldous Huxley,British,27,gen_fiction,1932.0,<10,No
warnd peace,Leo Tolstoy,Russian,28,history,1869.0,20-50,Yes
to kill mockingbird,Harper Lee,American,29,gen_fiction,1960.0,20-50,Yes
wizard of oz,L. Frank Baum,American,30,fantasy,1900.0,<10,No
les misérables,Victor Hugo,French,31,gen_fiction,1862.0,<10,No
secret garden,Frances Hodgson Burnett,British,32,gen_fiction,1911.0,<10,No
animal farm,George Orwell,British,33,political,1945.0,<10,No
great gatsby,F. Scott Fitzgerald,American,34,gen_fiction,1925.0,20-50,Yes
little prince,Antoine de Saint-Exupéry,French,35,gen_fiction,1943.0,>100,Yes
call of wild,Jack London,American,36,action,1903.0,<10,No
twenty thousand leagues under sea,Jules Verne,French,37,scifi,1870.0,<10,No
annkarenina,Leo Tolstoy,Russian,38,romance,1877.0,<10,No
wind in willows,Kenneth Grahame,British,39,fantasy,1908.0,20-50,Yes
picture of dorigray,Oscar Wilde,Irish,40,gen_fiction,1890.0,<10,No
grapes of wrath,John Steinbeck,American,41,gen_fiction,1939.0,10-20,Yes
sensend sensibility,Jane Austen,British,42,romance,1811.0,<10,No
last of mohicans,James Fenimore Cooper,American,43,history,1826.0,<10,No
tess of d'urbervilles,Thomas Hardy,British,44,gen_fiction,1891.0,<10,No
harry potternd sorcerer's stone,J.K. Rowling,,45,fantasy,,<10,No
heidi,Johanna Spyri,Swiss,46,gen_fiction,1881.0,50-100,Yes
ulysses,James Joyce,Irish,47,gen_fiction,1922.0,<10,No
complete sherlock holmes,Arthur Conan Doyle,British,48,mystery,1887.0,<10,No
count of monte cristo,Alexandre Dumas,French,49,history,1844.0,<10,No
old mannd sea,Ernest Hemingway,American,50,allegories,1952.0,10-20,Yes
"lion, witch,nd wardrobe",C.S. Lewis,,51,fantasy,,<10,No
